NOC_CODE,OASIS_LABEL,TEER,Weight
9001,Manufacturing managers,0,0.2
9001,Natural gas and petroleum supply managers.,0,0.2
9001,Waste systems managers,0,0.2
9001,Water pollution control managers,0,0.2
9001,Water supply managers,0,0.2
9201,"Supervisors, food and beverage processing",2,0.4
9201,"Supervisors, forest products processing",2,0.4
9201,"Supervisors, mineral and metal processing",2,0.4
9201,"Supervisors, petroleum, gas and chemical processing and utilities",2,0.4
9201,"Supervisors, plastic and rubber products manufacturing",2,0.4
9201,"Supervisors, textile, fabric, fur and leather products processing and manufacturing",2,0.4
9202,"Supervisors, electronics and electrical products manufacturing",2,0.4
9202,"Supervisors, furniture and fixtures manufacturing",2,0.4
9202,"Supervisors, motor vehicle assembling",2,0.4
9202,"Supervisors, other mechanical and metal products manufacturing",2,0.4
9202,"Supervisors, other products manufacturing and assembly",2,0.4
9202,"Supervisors, other products manufacturing and assembly",2,0.4
9210,Liquid waste plant operators,2,0.4
9210,Power engineers,2,0.4
9210,Power systems operators,2,0.4
9210,Water treatment plant operators,2,0.4
9310,"Central control and process operators, mineral and metal processing",3,0.6
9310,"Central control and process operators, petroleum, gas and chemical processing",3,0.6
9310,"Pulping, papermaking and coating control operators",3,0.6
9320,Aircraft assemblers,3,0.6
9320,Aircraft assembly inspectors,3,0.6
9410,Clay products forming and finishing machine operators,4,0.8
9410,Concrete products forming and finiching machine operators and workers,4,0.8
9410,Forging machine operators,4,0.8
9410,Foundry furnace operators,4,0.8
9410,Glass cutters,4,0.8
9410,Glass finishing machine operators,4,0.8
9410,Glass forming machine operators,4,0.8
9410,Glass process control operators,4,0.8
9410,"Inspectors and testers, mineral and metal processing",4,0.8
9410,Machine operators of other metal products,4,0.8
9410,"Machine operators, mineral and metal processing",4,0.8
9410,Machining tool operators,4,0.8
9410,Metal casters,4,0.8
9410,Metalworking machine operators,4,0.8
9410,Mouldmakers and coremakers,4,0.8
9410,Stone forming and finishing workers,4,0.8
9411,"Assemblers, rubber products",4,0.8
9411,Calendering process operators - plastic processing,4,0.8
9411,Chemical plant machine operators,4,0.8
9411,Extruding process operators - plastic processing,4,0.8
9411,Mixing machine operators - plastic processing,4,0.8
9411,Moulding process operators - plastic processing,4,0.8
9411,Rubber processing machine operators,4,0.8
9411,Rubber products inspectors,4,0.8
9412,Lumber graders,4,0.8
9412,Other wood processing inspectors and graders,4,0.8
9412,Other wood processing machine operators,4,0.8
9412,Paper converting machine operators,4,0.8
9412,"Pulp mill, papermaking and finishing machine operators",4,0.8
9412,Sawmill machine operators,4,0.8
9412,Woodworking machine operators,4,0.8
9413,Industrial sewing machine operators,4,0.8
9413,"Inspectors and graders, textile, fabric, fur and leather products manufacturing",4,0.8
9413,"Textile fibre, yarn, hide and pelt processing machine operators",4,0.8
9413,"Textile, hide and pelt dyeing and finishing machine operators",4,0.8
9413,"Weavers, knitters and other fabric making occupations",4,0.8
9414,Fish and seafood plant cutters and cleaners,4,0.8
9414,Fish and seafood plant machine operators,4,0.8
9414,Industrial butchers,4,0.8
9414,Industrial meat cutters,4,0.8
9414,"Machine operators, food and beverage processing",4,0.8
9414,Poultry preparers,4,0.8
9414,"Process control operators, food and beverage processing",4,0.8
9414,"Testers and graders, food and beverage processing",4,0.8
9415,Binding and finishing machine operators,4,0.8
9415,Etchers and engravers,4,0.8
9415,"Graphic arts camera operators, scanner operators, film strippers and assemblers",4,0.8
9415,Photographic and film processors,4,0.8
9415,Plateless printing equipment operators,4,0.8
9415,"Prepress technicians, platemakers, proofmakers, and pre-flight/file-preparation operators",4,0.8
9420,"Assemblers, electrical appliance, apparatus and equipment manufacturing",4,0.8
9420,"Assemblers, industrial electrical motors and transformers",4,0.8
9420,"Electrical fitters and wirers, industrial electrical motors and transformers",4,0.8
9420,Electronics assemblers and fabricators,4,0.8
9420,Electronics inspectors and testers,4,0.8
9420,Inspectors and testers in electrical apparatus manufacturing,4,0.8
9420,"Inspectors and testers, electrical appliance,  apparatus and equipment manufacturing",4,0.8
9420,"Inspectors, industrial electrical motors and transformers",4,0.8
9420,Machine operators in electrical apparatus manufacturing,4,0.8
9420,Mechanical assemblers,4,0.8
9420,Mechanical inspectors,4,0.8
9420,Motor vehicle assemblers,4,0.8
9420,Motor vehicle inspectors and testers,4,0.8
9421,Furniture and fixture assemblers,4,0.8
9421,Furniture and fixture inspectors,4,0.8
9421,Furniture finishers,4,0.8
9421,Furniture refinishers,4,0.8
9421,Industrial metal finishing process operators,4,0.8
9421,Industrial painters and coaters,4,0.8
9421,Other wood products assemblers,4,0.8
